Position,Expression
3.86563,0.0944882
3.87188,0.11811
3.87708,0.133858
3.88333,0.149606
3.88854,0.165354
3.89479,0.173228
3.90104,0.181102
3.90625,0.19685
3.9125,0.212598
3.91771,0.228346
3.92396,0.23622
3.93021,0.244094
3.93542,0.251969
3.94167,0.267717
3.94792,0.275591
3.95312,0.291339
3.96458,0.299213
3.96979,0.307087
3.97604,0.314961
3.98229,0.322835
3.9875,0.330709
3.99896,0.338583
4.00521,0.346457
4.01667,0.354331
4.02292,0.362205
4.04583,0.370079
4.06354,0.377953
4.09167,0.385827
4.10417,0.393701
4.17917,0.401575
4.18542,0.393701
4.19688,0.401575
4.20208,0.393701
4.28333,0.385827
4.28958,0.377953
4.29583,0.385827
4.30104,0.377953
4.41146,0.385827
4.42292,0.393701
4.42917,0.385827
4.43438,0.393701
4.46979,0.401575
4.48646,0.409449
4.49271,0.401575
4.50417,0.409449
4.62083,0.401575
4.63229,0.393701
4.6375,0.401575
4.64375,0.393701
4.68958,0.385827
4.69583,0.377953
4.73125,0.370079
4.73646,0.362205
4.76562,0.346457
4.78333,0.330709
4.83542,0.322835
4.84063,0.314961
4.87604,0.307087
4.88229,0.299213
4.92188,0.291339
4.92812,0.283465
4.9625,0.275591
4.975,0.267717
5.06146,0.259843
5.06771,0.267717
5.07292,0.259843
5.07917,0.267717
5.08542,0.251969
5.10208,0.259843
5.10833,0.251969
5.2125,0.23622
5.21875,0.251969
5.22396,0.244094
5.25312,0.23622
5.27083,0.244094
5.27604,0.23622
5.28229,0.244094
5.29375,0.23622
5.3,0.244094
5.30521,0.23622
5.31146,0.244094
5.32292,0.23622
5.32917,0.244094
5.34063,0.23622
5.35208,0.244094
5.35833,0.23622
5.42708,0.220472
5.43958,0.23622
5.44479,0.220472
5.54896,0.204724
5.55521,0.220472
5.56042,0.204724
5.56667,0.212598
5.58437,0.204724
5.64271,0.188976
5.88646,0.181102
5.89167,0.188976
6.00833,0.19685
6.01354,0.188976
6.025,0.19685
6.03125,0.204724
6.14167,0.220472
6.14687,0.204724
6.15313,0.212598
6.16458,0.220472
6.21667,0.228346
6.22292,0.220472
6.22813,0.23622
6.23438,0.228346
6.23958,0.23622
6.33333,0.244094
6.33854,0.23622
6.34479,0.244094
6.35,0.23622
6.35625,0.244094
6.3625,0.23622
6.37396,0.251969
6.37917,0.244094
6.39062,0.251969
6.56562,0.259843
6.57083,0.251969
6.58229,0.259843
6.59375,0.267717
6.60625,0.259843
6.61771,0.267717
6.71667,0.275591
6.73333,0.283465
6.73958,0.275591
6.74479,0.283465
6.7625,0.275591
6.76875,0.283465
7.48854,0.267717
7.64479,0.251969
7.65625,0.259843
7.6625,0.251969
7.67396,0.259843
7.68021,0.251969
7.78437,0.259843
7.79063,0.251969
7.84896,0.259843
7.85417,0.251969
7.86562,0.259843
7.87708,0.267717
7.88333,0.259843
7.89479,0.251969
7.90625,0.259843
7.91771,0.251969
7.93542,0.259843
7.96979,0.251969
7.97604,0.259843
7.98125,0.251969
7.9875,0.259843
8.01042,0.251969
8.01667,0.267717
8.02292,0.251969
8.02812,0.259843
8.03958,0.251969
8.05104,0.259843
8.06875,0.251969
8.08021,0.259843
8.12708,0.267717
8.13854,0.259843
8.14375,0.267717
8.15625,0.251969
8.16146,0.267717
8.16771,0.259843
8.17292,0.267717
8.28438,0.275591
8.28958,0.267717
8.31875,0.275591
8.32396,0.267717
8.33542,0.275591
8.34167,0.267717
8.35313,0.275591
8.35938,0.283465
8.36458,0.275591
8.37083,0.267717
8.37604,0.275591
8.38229,0.267717
8.38854,0.275591
8.39375,0.267717
8.40521,0.275591
8.41146,0.267717
8.43437,0.275591
8.44063,0.267717
8.45208,0.283465
8.60833,0.291339
8.61458,0.283465
8.8875,0.291339
8.89896,0.299213
8.93958,0.283465
8.94583,0.299213
8.95104,0.283465
8.96875,0.291339
8.97396,0.283465
8.99167,0.291339
8.99792,0.283465
9.01458,0.291339
9.02604,0.299213
9.03229,0.291339
9.03854,0.299213
9.10833,0.291339
9.11354,0.283465
9.11979,0.291339
9.125,0.283465
9.38646,0.275591
9.39271,0.283465
9.625,0.291339
9.63021,0.283465
9.63646,0.291339
9.64167,0.283465
9.64896,0.291339
9.65938,0.283465
9.66563,0.291339
9.67708,0.299213
9.68229,0.283465
9.69375,0.291339
9.70625,0.299213
9.71146,0.283465
9.71771,0.299213
9.91458,0.307087
9.94375,0.314961
9.95,0.307087
9.95521,0.314961
9.97292,0.307087
9.97917,0.314961
9.99062,0.307087
9.99583,0.314961
10.0188,0.307087
10.025,0.314961
10.0656,0.307087
10.0719,0.314961
10.1062,0.307087
10.1125,0.314961
10.2573,0.322835
10.2635,0.314961
10.5073,0.307087
10.5188,0.299213
10.5302,0.307087
10.5479,0.299213
10.6406,0.307087
10.6458,0.299213
10.6927,0.307087
10.7156,0.299213
10.9365,0.291339
10.9427,0.299213
10.9708,0.291339
10.9833,0.283465
10.9885,0.291339
11,0.283465
11.2208,0.275591
11.2438,0.267717
11.25,0.275591
11.2615,0.267717
11.3021,0.275591
11.3083,0.267717
11.326,0.275591
11.3375,0.267717
11.5979,0.251969
11.6042,0.259843
11.6167,0.251969
11.6271,0.259843
11.6333,0.251969
11.6448,0.259843
11.6562,0.251969
11.6854,0.267717
11.6906,0.259843
11.7083,0.267717
11.8708,0.275591
11.8771,0.283465
11.8823,0.267717
11.8948,0.275591
11.9,0.267717
11.9115,0.251969
11.9229,0.23622
11.9354,0.220472
11.9469,0.204724
11.9521,0.188976
11.9583,0.173228
11.9698,0.15748
11.9812,0.149606
11.9875,0.141732
11.999,0.125984
12.0167,0.110236
12.0333,0.0944882
12.0625,0.0866142
12.074,0.0787402
12.1562,0.0708661
12.1625,0.0629921
12.1729,0.0472441
12.1844,0.0314961
12.1906,0.015748
12.1958,0
