Position,Expression
4.09792,0.00787402
4.10313,0.015748
4.11562,0.023622
4.12083,0.0314961
4.15625,0.0472441
4.16771,0.0551181
4.17292,0.0472441
4.17917,0.0551181
4.18438,0.0629921
4.21354,0.0787402
4.24896,0.0866142
4.25417,0.0787402
4.26042,0.0866142
4.26562,0.0787402
4.27187,0.0866142
4.27708,0.0787402
4.28333,0.0866142
4.28958,0.0787402
4.29479,0.0866142
4.30104,0.0944882
4.39479,0.102362
4.40521,0.110236
4.43438,0.125984
4.45729,0.133858
4.46875,0.141732
4.49792,0.15748
4.53854,0.173228
4.60833,0.181102
4.61979,0.173228
4.63125,0.181102
4.64583,0.188976
4.81146,0.19685
4.81771,0.188976
4.96875,0.19685
4.97396,0.204724
5.01458,0.19685
5.02083,0.204724
5.04375,0.19685
5.05,0.204724
5.06667,0.188976
5.07917,0.19685
5.09583,0.188976
5.10208,0.19685
5.10729,0.188976
5.125,0.19685
5.13125,0.188976
5.17188,0.19685
5.17708,0.188976
5.18333,0.19685
5.18854,0.204724
5.2,0.19685
5.24688,0.188976
5.26979,0.19685
5.28229,0.188976
5.29375,0.19685
5.3,0.188976
5.66458,0.19685
5.67083,0.188976
5.68229,0.19685
5.68854,0.204724
5.69375,0.188976
5.70521,0.19685
5.71771,0.204724
5.72292,0.19685
5.74062,0.188976
5.76979,0.19685
5.77604,0.188976
5.90313,0.181102
5.92083,0.173228
5.93229,0.181102
5.9375,0.173228
6.15313,0.165354
6.15833,0.15748
6.16563,0.173228
6.16979,0.15748
6.18125,0.165354
6.1875,0.173228
6.19375,0.165354
6.19896,0.15748
6.20521,0.165354
6.21042,0.15748
6.22917,0.165354
6.23438,0.15748
6.24583,0.165354
6.25208,0.15748
6.25833,0.173228
6.2625,0.15748
6.54792,0.165354
6.55312,0.15748
6.57083,0.165354
6.59375,0.173228
6.79167,0.181102
6.79688,0.173228
6.80312,0.181102
6.81458,0.188976
6.83229,0.181102
6.84479,0.188976
6.90208,0.181102
6.90729,0.188976
7.10521,0.19685
7.11146,0.188976
7.11667,0.19685
7.12188,0.204724
7.12812,0.19685
7.13333,0.204724
7.25521,0.212598
7.26146,0.204724
7.26771,0.212598
7.27292,0.204724
7.27917,0.212598
7.29063,0.204724
7.29583,0.212598
7.33125,0.220472
7.38438,0.228346
7.38958,0.220472
7.41875,0.228346
7.43021,0.23622
7.45937,0.228346
7.46458,0.23622
7.49375,0.228346
7.5,0.23622
7.56875,0.228346
7.575,0.23622
7.59792,0.228346
7.60417,0.23622
7.65,0.228346
7.65625,0.220472
7.6625,0.228346
7.67917,0.23622
7.825,0.228346
7.83646,0.23622
7.84167,0.228346
7.84792,0.23622
7.97604,0.228346
7.98125,0.220472
7.99896,0.228346
8.01042,0.220472
8.03333,0.228346
8.03958,0.220472
8.14375,0.212598
8.15521,0.204724
8.16146,0.212598
8.16667,0.220472
8.17292,0.212598
8.17812,0.204724
8.38229,0.212598
8.39375,0.204724
8.39896,0.212598
8.40521,0.204724
8.42292,0.212598
8.43437,0.220472
8.44583,0.212598
8.45208,0.220472
8.74167,0.228346
8.74792,0.220472
8.88125,0.228346
8.89271,0.220472
8.89896,0.23622
8.90521,0.228346
8.91042,0.23622
8.91563,0.228346
8.92188,0.23622
8.92708,0.228346
8.93333,0.23622
8.94479,0.228346
8.95104,0.23622
9.20625,0.244094
9.21354,0.23622
9.24687,0.244094
9.25208,0.23622
9.43229,0.244094
9.43854,0.23622
9.44479,0.244094
9.45625,0.23622
9.4625,0.244094
9.46771,0.251969
9.56042,0.244094
9.56563,0.251969
9.58021,0.244094
9.58333,0.251969
9.67083,0.259843
9.67604,0.251969
9.70521,0.259843
9.71146,0.251969
9.91458,0.23622
9.91979,0.244094
9.9375,0.23622
9.94375,0.244094
9.94896,0.23622
9.95521,0.244094
9.97813,0.23622
9.98438,0.244094
10.0021,0.23622
10.0073,0.244094
10.0135,0.23622
10.2573,0.244094
10.2625,0.23622
10.2802,0.244094
10.2854,0.23622
10.3271,0.244094
10.3323,0.23622
10.7854,0.244094
10.7917,0.23622
10.8719,0.244094
10.8781,0.23622
10.9771,0.244094
10.9885,0.251969
10.9938,0.244094
11.0177,0.251969
11.0229,0.244094
11.0292,0.23622
11.0344,0.244094
11.0406,0.23622
11.0521,0.244094
11.0583,0.23622
11.0698,0.244094
11.076,0.23622
11.0813,0.244094
11.0865,0.23622
11.2031,0.244094
11.2094,0.23622
11.2146,0.251969
11.2208,0.244094
11.226,0.251969
11.2844,0.259843
11.2906,0.251969
11.3021,0.259843
11.3073,0.251969
11.3135,0.259843
11.3313,0.251969
11.4698,0.259843
11.476,0.251969
11.4812,0.259843
11.499,0.251969
11.5052,0.259843
11.5104,0.251969
11.5281,0.259843
11.5344,0.251969
11.5625,0.259843
11.5687,0.251969
11.8125,0.244094
11.8187,0.251969
11.824,0.244094
11.8302,0.251969
11.8885,0.23622
11.8938,0.251969
11.9177,0.244094
11.9229,0.23622
11.9292,0.244094
11.9406,0.251969
11.9698,0.23622
11.9812,0.220472
11.9927,0.204724
11.999,0.188976
12.0042,0.173228
12.0104,0.141732
12.0156,0.110236
12.0219,0.0787402
12.0271,0.0314961
12.0333,0
