Position,Expression
3.86042,0.023622
3.86667,0.0393701
3.87812,0.0551181
3.88437,0.0629921
3.88958,0.0708661
3.89583,0.0787402
3.90104,0.0866142
3.90729,0.0944882
3.91875,0.110236
3.93021,0.11811
3.93646,0.125984
3.94167,0.133858
3.94792,0.141732
3.95938,0.149606
3.96563,0.15748
3.98333,0.165354
3.98854,0.173228
4.01771,0.181102
4.02917,0.188976
4.05833,0.19685
4.06354,0.204724
4.08125,0.212598
4.09271,0.220472
4.10417,0.228346
4.11042,0.23622
4.13333,0.251969
4.14479,0.259843
4.15104,0.267717
4.1625,0.275591
4.16875,0.283465
4.18021,0.291339
4.18542,0.299213
4.20312,0.307087
4.20937,0.314961
4.22708,0.322835
4.23229,0.330709
4.25521,0.346457
4.27292,0.362205
4.4125,0.354331
4.41771,0.362205
4.42396,0.354331
4.43542,0.362205
4.52292,0.370079
4.53437,0.362205
4.53958,0.370079
4.55729,0.362205
4.56354,0.370079
4.56875,0.377953
4.58021,0.370079
4.58646,0.362205
4.59271,0.370079
4.59792,0.377953
4.60417,0.370079
4.61146,0.377953
4.63854,0.370079
4.64479,0.377953
4.65,0.362205
4.65625,0.377953
4.66146,0.370079
4.66771,0.362205
4.67396,0.370079
4.69062,0.362205
4.69688,0.370079
4.71458,0.362205
4.71979,0.377953
4.72604,0.370079
4.7375,0.362205
4.74271,0.370079
4.74896,0.362205
4.75521,0.370079
4.76667,0.362205
4.77813,0.370079
4.78333,0.362205
4.79583,0.370079
4.80729,0.362205
4.82396,0.370079
4.83021,0.362205
4.88854,0.354331
4.89375,0.346457
4.95833,0.338583
4.96354,0.330709
5.02813,0.322835
5.03958,0.314961
5.09687,0.299213
5.10313,0.307087
5.10833,0.299213
5.11458,0.314961
5.12083,0.307087
5.13229,0.314961
5.15521,0.307087
5.16146,0.314961
5.19062,0.307087
5.20729,0.314961
5.21979,0.307087
5.225,0.299213
5.23646,0.307087
5.24271,0.299213
5.31771,0.291339
5.32396,0.283465
5.32917,0.291339
5.33542,0.299213
5.34063,0.291339
5.35313,0.283465
5.42292,0.267717
5.42812,0.275591
5.43438,0.267717
5.43958,0.275591
5.45104,0.267717
5.61354,0.259843
5.61979,0.251969
5.70104,0.244094
5.73021,0.23622
5.79375,0.244094
5.80521,0.23622
5.82292,0.244094
5.84063,0.23622
5.85729,0.244094
5.86354,0.23622
5.875,0.244094
5.88125,0.23622
5.89271,0.244094
5.89896,0.23622
5.91042,0.244094
5.92188,0.23622
6.5375,0.244094
6.54271,0.23622
6.54896,0.244094
6.55417,0.23622
6.56042,0.244094
6.58958,0.251969
6.75729,0.259843
6.775,0.267717
6.78125,0.259843
6.78646,0.267717
6.79271,0.259843
6.81042,0.251969
6.82188,0.259843
6.82708,0.251969
6.83333,0.259843
6.83854,0.251969
6.84479,0.259843
6.85625,0.267717
6.94896,0.259843
6.95521,0.251969
7.20521,0.244094
7.21042,0.251969
7.21563,0.244094
7.22187,0.23622
7.22813,0.244094
7.23333,0.251969
7.23958,0.244094
7.24479,0.23622
7.25104,0.244094
7.25729,0.251969
7.2625,0.244094
7.26875,0.23622
7.425,0.244094
7.43646,0.251969
7.47708,0.244094
7.48333,0.251969
7.74479,0.259843
7.75,0.251969
7.8375,0.259843
7.84375,0.267717
7.96563,0.275591
7.97708,0.267717
7.98229,0.275591
7.98854,0.283465
7.99375,0.275591
8,0.283465
8.00521,0.275591
8.01146,0.283465
8.37187,0.291339
8.38333,0.299213
8.45833,0.307087
8.46979,0.299213
8.47604,0.307087
8.4875,0.314961
8.54583,0.322835
8.55208,0.314961
8.62083,0.322835
8.62708,0.314961
8.67292,0.322835
8.69063,0.314961
8.70833,0.322835
8.71979,0.314961
8.725,0.322835
8.73125,0.330709
8.7375,0.322835
8.74271,0.314961
8.75417,0.322835
8.77812,0.330709
8.78958,0.322835
8.80104,0.314961
8.88854,0.322835
8.91146,0.330709
8.91667,0.322835
8.92292,0.314961
9.1375,0.322835
9.14375,0.330709
9.14896,0.314961
9.15625,0.322835
9.16667,0.330709
9.18021,0.322835
9.18437,0.314961
9.19063,0.322835
9.19583,0.314961
9.20729,0.322835
9.21354,0.314961
9.225,0.322835
9.23125,0.314961
9.24167,0.322835
9.24792,0.314961
9.27083,0.322835
9.27708,0.314961
9.28229,0.322835
9.28854,0.314961
9.29688,0.322835
9.30625,0.314961
9.31771,0.322835
9.32917,0.314961
9.34062,0.322835
9.34688,0.314961
9.35208,0.322835
9.36354,0.330709
9.38125,0.322835
9.3875,0.330709
9.54479,0.338583
9.55521,0.330709
9.56667,0.338583
9.57292,0.330709
9.57917,0.338583
9.58437,0.346457
9.59583,0.338583
9.60208,0.346457
9.64271,0.338583
9.64896,0.346457
9.66563,0.330709
9.67188,0.338583
9.67708,0.346457
9.83437,0.354331
9.83958,0.346457
9.85208,0.354331
9.85729,0.346457
10.0781,0.354331
10.0958,0.346457
10.101,0.362205
10.1073,0.354331
10.1188,0.346457
10.1302,0.354331
10.1365,0.346457
10.1823,0.354331
10.1948,0.362205
10.2,0.354331
10.2063,0.362205
10.2812,0.370079
10.2875,0.362205
10.4146,0.354331
10.4323,0.346457
10.4385,0.362205
10.4615,0.346457
10.4667,0.362205
10.4844,0.354331
10.4906,0.362205
10.4958,0.354331
10.5135,0.346457
10.5188,0.354331
10.5312,0.346457
10.775,0.354331
10.7802,0.346457
10.7865,0.354331
10.8042,0.346457
10.8323,0.354331
10.8385,0.346457
10.9198,0.354331
10.926,0.346457
10.9375,0.354331
10.9437,0.346457
11.001,0.354331
11.0135,0.346457
11.024,0.354331
11.0302,0.346457
11.0354,0.354331
11.0417,0.362205
11.0479,0.354331
11.0531,0.346457
11.0594,0.354331
11.0646,0.346457
11.0938,0.354331
11.1052,0.346457
11.1115,0.354331
11.1229,0.346457
11.1292,0.362205
11.1406,0.354331
11.1458,0.362205
11.175,0.354331
11.1813,0.346457
11.1865,0.354331
11.1927,0.346457
11.2156,0.354331
11.2271,0.346457
11.2448,0.354331
11.251,0.346457
11.2573,0.354331
11.2625,0.346457
11.2854,0.354331
11.3031,0.362205
11.3146,0.354331
11.3208,0.362205
11.3615,0.346457
11.3667,0.362205
11.4135,0.354331
11.425,0.362205
11.4302,0.354331
11.4365,0.362205
11.4427,0.346457
11.4542,0.354331
11.4656,0.346457
11.4708,0.354331
11.4771,0.346457
11.4833,0.354331
11.4885,0.346457
11.4948,0.354331
11.5,0.362205
11.5875,0.354331
11.5927,0.362205
11.599,0.346457
11.6104,0.354331
11.6167,0.346457
11.6219,0.354331
11.6281,0.346457
11.7448,0.338583
11.75,0.346457
11.8135,0.354331
11.8313,0.346457
11.8375,0.362205
11.8604,0.354331
11.8656,0.346457
11.8896,0.330709
11.9062,0.314961
11.9354,0.307087
11.9417,0.299213
11.9479,0.283465
11.9594,0.251969
11.9646,0.23622
11.9708,0.204724
11.976,0.173228
11.9823,0.141732
11.9875,0.0944882
11.9938,0.0472441
12,0
