Position,Expression
3.89896,0.622047
3.90417,0.755906
3.91042,0.818898
3.91667,0.905512
3.92188,1
6.22708,0.992126
6.28437,0.984252
6.30208,0.976378
6.30833,0.984252
6.31979,0.976378
6.325,0.984252
6.33125,0.976378
6.37708,0.968504
6.38333,0.96063
6.38958,0.968504
6.39479,0.96063
6.4125,0.952756
6.41771,0.944882
6.44688,0.937008
6.45312,0.929134
6.45833,0.937008
6.46458,0.929134
6.49375,0.92126
6.50521,0.913386
6.55208,0.905512
6.55729,0.897638
6.62188,0.88189
6.62708,0.897638
6.63333,0.88189
6.65,0.889764
6.65625,0.88189
6.69062,0.866142
6.75521,0.858268
6.76667,0.850394
6.84792,0.834646
6.85313,0.84252
6.85938,0.834646
6.90625,0.818898
6.91146,0.826772
6.91771,0.818898
6.96354,0.80315
6.96979,0.811024
6.975,0.80315
7.03958,0.787402
7.04479,0.795276
7.05104,0.787402
7.10938,0.779528
7.11458,0.771654
7.15521,0.76378
7.16667,0.755906
7.24896,0.748031
7.25417,0.755906
7.26042,0.748031
7.26562,0.755906
7.27187,0.748031
7.27708,0.740157
7.32396,0.724409
7.3875,0.716535
7.39375,0.724409
7.39896,0.716535
7.41667,0.708661
7.42292,0.716535
7.42812,0.708661
7.43438,0.716535
7.43958,0.708661
7.46875,0.700787
7.48021,0.692913
7.59063,0.685039
7.59687,0.692913
7.60208,0.685039
7.60833,0.677165
7.72396,0.669291
7.73021,0.677165
7.73646,0.669291
7.74792,0.661417
7.80521,0.653543
7.81667,0.645669
7.82917,0.653543
7.83437,0.645669
7.9625,0.629921
7.96771,0.645669
7.97396,0.637795
7.98021,0.629921
8.05521,0.622047
8.06146,0.629921
8.06667,0.622047
8.07292,0.614173
8.11354,0.598425
8.11875,0.606299
8.125,0.598425
8.18854,0.590551
8.2,0.582677
8.20625,0.590551
8.21146,0.582677
8.28125,0.574803
8.29896,0.566929
8.38646,0.559055
8.39792,0.551181
8.45,0.535433
8.45625,0.551181
8.46771,0.543307
8.47917,0.535433
8.49062,0.543307
8.50208,0.535433
8.54271,0.543307
8.54896,0.535433
8.56563,0.543307
8.57188,0.535433
8.57812,0.543307
8.58958,0.535433
8.76979,0.519685
8.775,0.527559
8.78646,0.519685
8.79792,0.527559
8.80937,0.519685
8.95521,0.511811
8.96042,0.519685
8.96667,0.503937
9.07083,0.496063
9.08229,0.503937
9.08854,0.496063
9.09479,0.488189
9.15208,0.496063
9.15833,0.488189
9.28021,0.480315
9.28542,0.472441
9.43125,0.464567
9.43646,0.456693
9.44271,0.472441
9.44792,0.440945
9.50625,0.425197
9.51771,0.433071
9.52396,0.425197
9.80312,0.417323
9.81458,0.425197
9.81979,0.417323
9.83125,0.409449
9.87813,0.401575
9.88333,0.393701
9.88958,0.401575
9.89583,0.393701
9.97708,0.385827
9.98229,0.393701
9.98854,0.385827
9.99375,0.377953
10.075,0.370079
10.0865,0.362205
10.1969,0.346457
10.2031,0.362205
10.2083,0.346457
10.2146,0.354331
10.226,0.346457
10.2844,0.338583
10.2906,0.346457
10.2958,0.338583
10.3021,0.346457
10.3073,0.338583
10.3187,0.330709
10.3604,0.322835
10.3656,0.330709
10.3719,0.314961
10.4531,0.307087
10.4583,0.314961
10.4646,0.307087
10.4698,0.299213
10.5979,0.283465
10.6042,0.291339
10.6156,0.283465
10.6562,0.291339
10.6729,0.283465
10.8594,0.275591
10.8823,0.283465
10.8885,0.275591
10.8938,0.283465
10.9,0.275591
10.9052,0.267717
10.9115,0.275591
10.9229,0.283465
11.1146,0.267717
11.1198,0.275591
11.126,0.267717
11.2479,0.251969
11.2542,0.259843
11.2594,0.267717
11.2656,0.251969
11.2771,0.259843
11.2823,0.251969
11.5031,0.259843
11.5094,0.251969
11.5146,0.267717
11.5323,0.251969
11.5385,0.259843
11.55,0.267717
11.5552,0.259843
11.5615,0.251969
11.625,0.244094
11.6312,0.23622
11.6365,0.244094
11.6427,0.23622
11.6656,0.220472
11.7302,0.212598
11.7354,0.204724
11.7646,0.188976
11.7937,0.173228
11.8167,0.15748
11.8281,0.141732
11.8458,0.133858
11.8521,0.125984
11.8573,0.110236
11.8688,0.0944882
11.875,0.0787402
11.8802,0.0629921
11.8865,0.0472441
11.8927,0.015748
11.8979,0
